+-----+---------------------+----------+
| key |        date         |  value   |
| uu3 | 2017-04-11 04:00:00 |   728213 |
| uu4 | 2017-04-11 04:00:00 |   833744 |
| uu1 | 2017-04-11 03:00:00 |   276880 |
| uu2 | 2017-04-11 03:00:00 |    74101 |
| uu3 | 2017-04-11 03:00:00 |   863804 |
| uu4 | 2017-04-11 03:00:00 |   816552 |
| uu1 | 2017-04-11 02:00:00 |   327396 |
| uu2 | 2017-04-11 02:00:00 |    69411 |
| uu3 | 2017-04-11 02:00:00 |  1010331 |
| uu4 | 2017-04-11 02:00:00 |   829705 |
| uu1 | 2017-04-11 01:00:00 |   454763 |
| uu2 | 2017-04-11 01:00:00 |    96348 |
| uu3 | 2017-04-11 01:00:00 |  1247120 |
| uu4 | 2017-04-11 01:00:00 |   906605 |
| uu1 | 2017-04-11 00:00:00 |   759184 |
| uu2 | 2017-04-11 00:00:00 |   187355 |
| uu3 | 2017-04-11 00:00:00 |  1748224 |
| uu4 | 2017-04-11 00:00:00 |  1114225 |
| uu1 | 2017-04-10 22:00:00 |  1889283 |
| uu2 | 2017-04-10 22:00:00 |   815669 |
| uu3 | 2017-04-10 22:00:00 |  3133829 |
| uu4 | 2017-04-10 22:00:00 |  1699987 |
| uu1 | 2017-04-10 21:00:00 |  2347946 |
| uu2 | 2017-04-10 21:00:00 |  1108443 |
| uu3 | 2017-04-10 21:00:00 |  3629707 |
| uu4 | 2017-04-10 21:00:00 |  1960458 |
| uu1 | 2017-04-10 20:00:00 |  2502687 |
| uu2 | 2017-04-10 20:00:00 |  1148397 |
| uu3 | 2017-04-10 20:00:00 |  3835028 |
| uu4 | 2017-04-10 20:00:00 |  1948724 |
| uu1 | 2017-04-10 19:00:00 |  2518162 |
| uu2 | 2017-04-10 19:00:00 |  1138728 |
| uu3 | 2017-04-10 19:00:00 |  3800573 |
| uu4 | 2017-04-10 19:00:00 |  1950933 |
| uu1 | 2017-04-10 18:00:00 |  2643453 |
| uu2 | 2017-04-10 18:00:00 |  1220197 |
| uu3 | 2017-04-10 18:00:00 |  4032026 |
| uu4 | 2017-04-10 18:00:00 |  2052089 |
| uu1 | 2017-04-10 17:00:00 |  3038912 |
| uu2 | 2017-04-10 17:00:00 |  1394093 |
| uu3 | 2017-04-10 17:00:00 |  4517941 |
| uu4 | 2017-04-10 17:00:00 |  2308167 |
| uu1 | 2017-04-10 16:00:00 |  3457357 |
| uu2 | 2017-04-10 16:00:00 |  1545396 |
| uu3 | 2017-04-10 16:00:00 |  5494899 |
| uu4 | 2017-04-10 16:00:00 |  2713503 |
| uu1 | 2017-04-10 15:00:00 |  3030746 |
| uu2 | 2017-04-10 15:00:00 |  1399616 |
| uu3 | 2017-04-10 15:00:00 |  3730505 |
| uu4 | 2017-04-10 15:00:00 |  2154481 |
| uu1 | 2017-04-10 14:00:00 |  2864734 |
| uu2 | 2017-04-10 14:00:00 |  1334215 |
| uu3 | 2017-04-10 14:00:00 |  3579987 |
| uu4 | 2017-04-10 14:00:00 |  2092769 |
| uu1 | 2017-04-10 13:00:00 |  2766140 |
| uu2 | 2017-04-10 13:00:00 |  1234947 |
| uu3 | 2017-04-10 13:00:00 |  3511439 |
| uu4 | 2017-04-10 13:00:00 |  1974115 |
| uu1 | 2017-04-10 12:00:00 |  2598707 |
| uu2 | 2017-04-10 12:00:00 |  1099429 |
| uu3 | 2017-04-10 12:00:00 |  3449494 |
| uu4 | 2017-04-10 12:00:00 |  1920900 |
| uu1 | 2017-04-10 11:00:00 |  2508480 |
| uu2 | 2017-04-10 11:00:00 |  1046989 |
| uu3 | 2017-04-10 11:00:00 |  3321043 |
| uu4 | 2017-04-10 11:00:00 |  1882599 |
| uu1 | 2017-04-10 10:00:00 |  2349024 |
| uu2 | 2017-04-10 10:00:00 |   925491 |
| uu3 | 2017-04-10 10:00:00 |  3074099 |
| uu4 | 2017-04-10 10:00:00 |  1793438 |
| uu1 | 2017-04-10 09:00:00 |  1668143 |
| uu2 | 2017-04-10 09:00:00 |   579223 |
| uu3 | 2017-04-10 09:00:00 |  2361762 |
| uu4 | 2017-04-10 09:00:00 |  1487183 |
| uu1 | 2017-04-10 08:00:00 |  1041224 |
| uu2 | 2017-04-10 08:00:00 |   285980 |
| uu3 | 2017-04-10 08:00:00 |  1689031 |
| uu4 | 2017-04-10 08:00:00 |  1264112 |
| uu1 | 2017-04-10 07:00:00 |   719129 |
| uu2 | 2017-04-10 07:00:00 |   180208 |
| uu3 | 2017-04-10 07:00:00 |  1303860 |
| uu4 | 2017-04-10 07:00:00 |  1146044 |
| uu1 | 2017-04-10 06:00:00 |   480130 |
| uu2 | 2017-04-10 06:00:00 |   110237 |
| uu3 | 2017-04-10 06:00:00 |   939047 |
| uu4 | 2017-04-10 06:00:00 |   985812 |
| uu1 | 2017-04-10 05:00:00 |   248244 |
| uu2 | 2017-04-10 05:00:00 |    51644 |
| uu3 | 2017-04-10 05:00:00 |   657546 |
| uu4 | 2017-04-10 05:00:00 |   838927 |
| uu1 | 2017-04-10 04:00:00 |   222345 |
| uu2 | 2017-04-10 04:00:00 |    43718 |
| uu3 | 2017-04-10 04:00:00 |   652238 |
| uu4 | 2017-04-10 04:00:00 |   788374 |
| uu1 | 2017-04-10 03:00:00 |   290354 |
| uu2 | 2017-04-10 03:00:00 |    63129 |
| uu3 | 2017-04-10 03:00:00 |   771405 |
| uu4 | 2017-04-10 03:00:00 |   782118 |
| uu1 | 2017-04-10 02:00:00 |   338498 |
| uu2 | 2017-04-10 02:00:00 |    67764 |
| uu3 | 2017-04-10 02:00:00 |   908416 |
| uu4 | 2017-04-10 02:00:00 |   811731 |
| uu1 | 2017-04-10 01:00:00 |   487557 |
| uu2 | 2017-04-10 01:00:00 |    98551 |
| uu3 | 2017-04-10 01:00:00 |  1127440 |
| uu4 | 2017-04-10 01:00:00 |   907834 |
| uu1 | 2017-04-10 00:00:00 |   744202 |
| uu2 | 2017-04-10 00:00:00 |   164718 |
| uu3 | 2017-04-10 00:00:00 |  1541476 |
| uu4 | 2017-04-10 00:00:00 |  1094446 |
| uu1 | 2017-04-09 22:00:00 |  1735243 |
| uu2 | 2017-04-09 22:00:00 |   730184 |
| uu3 | 2017-04-09 22:00:00 |  2652819 |
| uu4 | 2017-04-09 22:00:00 |  1541129 |
| uu1 | 2017-04-09 21:00:00 |  2168306 |
| uu2 | 2017-04-09 21:00:00 |   987436 |
| uu3 | 2017-04-09 21:00:00 |  3053930 |
| uu4 | 2017-04-09 21:00:00 |  1736110 |
| uu1 | 2017-04-09 20:00:00 |  2272711 |
| uu2 | 2017-04-09 20:00:00 |  1056416 |
| uu3 | 2017-04-09 20:00:00 |  3220192 |
| uu4 | 2017-04-09 20:00:00 |  1763156 |
| uu1 | 2017-04-09 19:00:00 |  2186322 |
| uu2 | 2017-04-09 19:00:00 |   999852 |
| uu3 | 2017-04-09 19:00:00 |  3063057 |
| uu4 | 2017-04-09 19:00:00 |  1701274 |
| uu1 | 2017-04-09 18:00:00 |  2257672 |
| uu2 | 2017-04-09 18:00:00 |  1057762 |
| uu3 | 2017-04-09 18:00:00 |  3131390 |
| uu4 | 2017-04-09 18:00:00 |  1716360 |
| uu1 | 2017-04-09 17:00:00 |  2417409 |
| uu2 | 2017-04-09 17:00:00 |  1139199 |
| uu3 | 2017-04-09 17:00:00 |  3210879 |
| uu4 | 2017-04-09 17:00:00 |  1857039 |
| uu1 | 2017-04-09 16:00:00 |  2523997 |
| uu2 | 2017-04-09 16:00:00 |  1206091 |
| uu3 | 2017-04-09 16:00:00 |  3280963 |
| uu4 | 2017-04-09 16:00:00 |  1861078 |
| uu1 | 2017-04-09 15:00:00 |  2514301 |
| uu2 | 2017-04-09 15:00:00 |  1209122 |
| uu3 | 2017-04-09 15:00:00 |  3252660 |
| uu4 | 2017-04-09 15:00:00 |  1851230 |
| uu1 | 2017-04-09 14:00:00 |  2478195 |
| uu2 | 2017-04-09 14:00:00 |  1151172 |
| uu3 | 2017-04-09 14:00:00 |  3252465 |
| uu4 | 2017-04-09 14:00:00 |  1833675 |
| uu1 | 2017-04-09 13:00:00 |  2461159 |
| uu2 | 2017-04-09 13:00:00 |  1115175 |
| uu3 | 2017-04-09 13:00:00 |  3273641 |
| uu4 | 2017-04-09 13:00:00 |  1803322 |
| uu1 | 2017-04-09 12:00:00 |  2317174 |
| uu2 | 2017-04-09 12:00:00 |   959077 |
| uu3 | 2017-04-09 12:00:00 |  3187266 |
| uu4 | 2017-04-09 12:00:00 |  1744529 |
| uu1 | 2017-04-09 11:00:00 |  2262804 |
| uu2 | 2017-04-09 11:00:00 |   923406 |
| uu3 | 2017-04-09 11:00:00 |  3080700 |
| uu4 | 2017-04-09 11:00:00 |  1760804 |
| uu1 | 2017-04-09 10:00:00 |  2074369 |
| uu2 | 2017-04-09 10:00:00 |   779192 |
| uu3 | 2017-04-09 10:00:00 |  2860650 |
| uu4 | 2017-04-09 10:00:00 |  1696323 |
| uu1 | 2017-04-09 09:00:00 |  1423553 |
| uu2 | 2017-04-09 09:00:00 |   475169 |
| uu3 | 2017-04-09 09:00:00 |  2224225 |
| uu4 | 2017-04-09 09:00:00 |  1404663 |
| uu1 | 2017-04-09 08:00:00 |   914616 |
| uu2 | 2017-04-09 08:00:00 |   250467 |
| uu3 | 2017-04-09 08:00:00 |  1625396 |
| uu4 | 2017-04-09 08:00:00 |  1205823 |
| uu1 | 2017-04-09 07:00:00 |   652695 |
| uu2 | 2017-04-09 07:00:00 |   171545 |
| uu3 | 2017-04-09 07:00:00 |  1273149 |
| uu4 | 2017-04-09 07:00:00 |  1076712 |
| uu1 | 2017-04-09 06:00:00 |   384209 |
